,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1,0.485,0.59,0.56,0.57,0.56,0.57,0.57,0.56,0.575,0.515,0.605,0.615,0.58,0.595,0.6,0.59,0.585,0.59,0.595,0.58,0.59,0.53,0.59,0.625,0.6,0.595,0.605,0.59,0.575,0.605,0.555,0.6,0.595,0.59,0.52,0.58,0.595,0.575,0.615,0.605,0.605,0.595,0.585,0.585,0.58,0.585,0.58,0.575,0.57,0.59
2,0.5,0.55,0.605,0.5,0.595,0.5,0.5,0.505,0.53,0.58,0.5,0.53,0.5,0.5,0.5,0.505,0.5,0.5,0.5,0.515,0.505,0.5,0.525,0.51,0.52,0.5,0.51,0.5,0.5,0.525,0.505,0.52,0.5,0.515,0.51,0.5,0.505,0.495,0.5,0.5,0.51,0.495,0.515,0.525,0.515,0.505,0.505,0.55,0.5,0.51
3,0.5,0.51,0.5,0.52,0.51,0.51,0.53,0.515,0.515,0.505,0.51,0.515,0.5,0.535,0.505,0.515,0.505,0.505,0.505,0.5,0.51,0.51,0.51,0.505,0.5,0.52,0.51,0.525,0.505,0.515,0.5,0.5,0.495,0.505,0.48,0.48,0.48,0.5,0.49,0.49,0.485,0.49,0.515,0.485,0.485,0.495,0.505,0.495,0.495,0.47
4,0.52,0.5,0.5,0.49,0.495,0.505,0.5,0.5,0.505,0.495,0.495,0.515,0.52,0.53,0.505,0.515,0.52,0.515,0.495,0.525,0.53,0.495,0.495,0.5,0.53,0.535,0.535,0.5,0.51,0.52,0.515,0.505,0.495,0.52,0.52,0.51,0.51,0.49,0.525,0.515,0.52,0.515,0.515,0.51,0.495,0.505,0.52,0.53,0.525,0.505
