8dim,16dim,24dim,32dim,40dim
0.785,0.846667,0.84,0.861667,0.873333
0.791667,0.865,0.858333,0.876667,0.895
0.796667,0.92,0.865,0.908333,0.908333
0.781667,0.883333,0.861667,0.848333,0.826667
